Date,Pair,Probability Up,Probability Down,Type
2025-01-01,GBPJPY,71.43,28.57,LONG
2025-01-08,GBPJPY,71.43,28.57,LONG
2025-01-11,GBPJPY,31.25,68.75,SHORT
2025-01-13,GBPJPY,26.67,73.33,SHORT
2025-01-18,GBPJPY,68.75,31.25,LONG
2025-01-19,GBPJPY,68.75,31.25,LONG
2025-01-21,GBPJPY,30.77,69.23,SHORT
2025-01-27,GBPJPY,73.33,26.67,LONG
2025-02-01,GBPJPY,68.75,31.25,LONG
2025-02-23,GBPJPY,25.00,75.00,SHORT
2025-03-01,GBPJPY,26.67,73.33,SHORT
2025-03-03,GBPJPY,73.33,26.67,LONG
2025-03-07,GBPJPY,20.00,80.00,SHORT
2025-03-10,GBPJPY,71.43,28.57,LONG
2025-03-13,GBPJPY,28.57,71.43,SHORT
2025-03-16,GBPJPY,31.25,68.75,SHORT
2025-03-20,GBPJPY,71.43,28.57,LONG
2025-03-21,GBPJPY,73.33,26.67,LONG
2025-03-26,GBPJPY,85.71,14.29,LONG
2025-03-29,GBPJPY,68.75,31.25,LONG
2025-03-30,GBPJPY,68.75,31.25,LONG
2025-04-01,GBPJPY,85.71,14.29,LONG
2025-04-03,GBPJPY,71.43,28.57,LONG
2025-04-10,GBPJPY,71.43,28.57,LONG
2025-04-17,GBPJPY,71.43,28.57,LONG
2025-04-19,GBPJPY,68.75,31.25,LONG
2025-04-26,GBPJPY,68.75,31.25,LONG
2025-04-28,GBPJPY,86.67,13.33,LONG
2025-05-14,GBPJPY,28.57,71.43,SHORT
2025-05-17,GBPJPY,68.75,31.25,LONG
2025-05-24,GBPJPY,25.00,75.00,SHORT
2025-05-27,GBPJPY,73.33,26.67,LONG
2025-06-05,GBPJPY,71.43,28.57,LONG
2025-06-17,GBPJPY,26.67,73.33,SHORT
2025-06-20,GBPJPY,73.33,26.67,LONG
2025-07-03,GBPJPY,71.43,28.57,LONG
2025-07-24,GBPJPY,28.57,71.43,SHORT
2025-08-14,GBPJPY,78.57,21.43,LONG
2025-08-18,GBPJPY,26.67,73.33,SHORT
